"TimeStamp","ComputerName","Message"
"2023-12-10 17:30:56","LAB-HV01","2023-12-10 17:30:56 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Logging works"
"2023-12-10 17:30:56","LAB-HV01","2023-12-10 17:30:56 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Starting main script execution"
"2023-12-10 17:30:57","LAB-HV01","2023-12-10 17:30:57 LAB-HV01: [INFO] [Initialize-HyperVServices] Starting Initialize-HyperVServices function"
"2023-12-10 17:30:57","LAB-HV01","2023-12-10 17:30:57 LAB-HV01: [INFO] [Initialize-HyperVServices] Hyper-V services started"
"2023-12-10 17:30:57","LAB-HV01","2023-12-10 17:30:57 LAB-HV01: [INFO] [Initialize-HyperVServices] Exiting Initialize-HyperVServices function"
"2023-12-10 17:30:57","LAB-HV01","2023-12-10 17:30:57 LAB-HV01: [ERROR] [2-Create-HyperV_VM7-withlogging.ps1] Error encountered: The term 'Ensure-UntrustedGuardianExists' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again..Exception"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Logging works"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Starting main script execution"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [Initialize-HyperVServices] Starting Initialize-HyperVServices function"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [Initialize-HyperVServices] Hyper-V services started"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [Initialize-HyperVServices] Exiting Initialize-HyperVServices function"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Checking for the existence of the guardian: UntrustedGuardian"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Guardian UntrustedGuardian already exists"
"2023-12-10 17:32:09","LAB-HV01","2023-12-10 17:32:09 LAB-HV01: [INFO] [CreateVMFolder] Starting CreateVMFolder function"
"2023-12-10 17:32:10","LAB-HV01","2023-12-10 17:32:10 LAB-HV01: [INFO] [CreateVMFolder] VM folder created at C:\VM\ProxMox_v8_1_20231210_173209"
"2023-12-10 17:32:10","LAB-HV01","2023-12-10 17:32:10 LAB-HV01: [INFO] [CreateVMFolder] Exiting CreateVMFolder function"
"2023-12-10 17:32:10","LAB-HV01","2023-12-10 17:32:10 LAB-HV01: [INFO] [New-CustomVM] Starting New-CustomVM function"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [New-CustomVM] VM ProxMox_v8_1_20231210_173209 created"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [New-CustomVM] Exiting New-CustomVM function"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [Add-DVDDriveToVM] Starting Add-DVDDriveToVM function"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [Add-DVDDriveToVM] DVD drive added to ProxMox_v8_1_20231210_173209"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [Add-DVDDriveToVM] Exiting Add-DVDDriveToVM function"
"2023-12-10 17:32:13","LAB-HV01","2023-12-10 17:32:13 LAB-HV01: [INFO] [ConfigureVMBoot] Starting ConfigureVMBoot function"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [ConfigureVMBoot] VM Boot configured for ProxMox_v8_1_20231210_173209"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [ConfigureVMBoot] Exiting ConfigureVMBoot function"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [ConfigureVM] Starting ConfigureVM function"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [ConfigureVM] VM ProxMox_v8_1_20231210_173209 configured"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [ConfigureVM] Exiting ConfigureVM function"
"2023-12-10 17:32:14","LAB-HV01","2023-12-10 17:32:14 LAB-HV01: [INFO] [EnableVMTPM] Starting Enable-VMTPM function"
"2023-12-10 17:32:15","LAB-HV01","2023-12-10 17:32:15 LAB-HV01: [INFO] [EnableVMTPM] TPM enabled for ProxMox_v8_1_20231210_173209"
"2023-12-10 17:32:15","LAB-HV01","2023-12-10 17:32:15 LAB-HV01: [INFO] [EnableVMTPM] Exiting Enable-VMTPM function"
"2023-12-10 17:32:15","LAB-HV01","2023-12-10 17:32:15 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Completed main script execution"
"2023-12-10 17:32:15","LAB-HV01","2023-12-10 17:32:15 LAB-HV01: [INFO] [Export-EventLog] Event log '173209_CreateNewHyperV_VM' exported to 'C:\code\CreateNewHyperV_VM\exports\Logs\LAB-HV01\2023-12-10-17-32-09\173209_CreateNewHyperV_VM-Transcript.evtx'"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Logging works"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Starting main script execution"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [Initialize-HyperVServices] Starting Initialize-HyperVServices function"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [Initialize-HyperVServices] Hyper-V services started"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [Initialize-HyperVServices] Exiting Initialize-HyperVServices function"
"2023-12-10 17:36:20","LAB-HV01","2023-12-10 17:36:20 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Checking for the existence of the guardian: UntrustedGuardian"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [EnsureUntrustedGuardianExists] Guardian UntrustedGuardian already exists"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] Starting CreateVMFolder function"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] VM folder created at C:\VM\Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [CreateVMFolder] Exiting CreateVMFolder function"
"2023-12-10 17:36:21","LAB-HV01","2023-12-10 17:36:21 LAB-HV01: [INFO] [New-CustomVM] Starting New-CustomVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [New-CustomVM] VM Proxmox_v8_1_20231210_173621 created"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [New-CustomVM] Exiting New-CustomVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] Starting Add-DVDDriveToVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] DVD drive added to Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [Add-DVDDriveToVM] Exiting Add-DVDDriveToVM function"
"2023-12-10 17:36:24","LAB-HV01","2023-12-10 17:36:24 LAB-HV01: [INFO] [ConfigureVMBoot] Starting ConfigureVMBoot function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVMBoot] VM Boot configured for Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVMBoot] Exiting ConfigureVMBoot function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] Starting ConfigureVM function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] VM Proxmox_v8_1_20231210_173621 configured"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] Exiting ConfigureVM function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [EnableVMTPM] Starting Enable-VMTPM function"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [EnableVMTPM] TPM enabled for Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [EnableVMTPM] Exiting Enable-VMTPM function"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Completed main script execution"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [Export-EventLog] Event log '173620_CreateNewHyperV_VM' exported to 'C:\code\CreateNewHyperV_VM\exports\Logs\LAB-HV01\2023-12-10-17-36-20\173620_CreateNewHyperV_VM-Transcript.evtx'"
